t/s	x/m	y/m
0,00	1,000	0,500
0,02	1,044	0,544
0,04	1,088	0,588
0,06	1,131	0,631
0,08	1,175	0,675
0,10	1,218	0,718
0,12	1,262	0,761
0,14	1,305	0,804
0,16	1,348	0,847
0,18	1,390	0,890
0,20	1,433	0,932
0,22	1,476	0,974
0,24	1,518	1,016
0,26	1,560	1,058
0,28	1,602	1,100
0,30	1,644	1,142
0,32	1,686	1,184
0,34	1,728	1,225
0,36	1,770	1,266
0,38	1,811	1,307
0,40	1,852	1,348
0,42	1,893	1,389
0,44	1,934	1,429
0,46	1,975	1,470
0,48	2,016	1,510
0,50	2,057	1,550
0,52	2,097	1,590
0,54	2,137	1,630
0,56	2,177	1,669
0,58	2,217	1,709
0,60	2,257	1,748
0,62	2,297	1,787
0,64	2,336	1,826
0,66	2,376	1,865
0,68	2,415	1,904
0,70	2,454	1,942
0,72	2,493	1,980
0,74	2,532	2,018
0,76	2,570	2,056
0,78	2,609	2,094
0,80	2,647	2,132
0,82	2,685	2,170
0,84	2,723	2,207
0,86	2,761	2,244
0,88	2,799	2,281
0,90	2,836	2,318
0,92	2,874	2,355
0,94	2,911	2,391
0,96	2,948	2,428
0,98	2,985	2,464
1,00	3,022	2,500
1,02	3,059	2,536
1,04	3,095	2,572
1,06	3,131	2,607
1,08	3,168	2,643
1,10	3,204	2,678
1,12	3,240	2,713
1,14	3,275	2,748
1,16	3,311	2,783
1,18	3,346	2,818
1,20	3,381	2,852
1,22	3,416	2,886
1,24	3,451	2,920
1,26	3,486	2,954
1,28	3,521	2,988
1,30	3,555	3,022
1,32	3,589	3,056
1,34	3,623	3,089
1,36	3,657	3,122
1,38	3,691	3,155
1,40	3,725	3,188
1,42	3,758	3,221
1,44	3,792	3,253
1,46	3,825	3,286
1,48	3,858	3,318
1,50	3,891	3,350
1,52	3,923	3,382
1,54	3,956	3,414
1,56	3,988	3,445
1,58	4,020	3,477
1,60	4,052	3,508
1,62	4,084	3,539
1,64	4,115	3,570
1,66	4,147	3,601
1,68	4,178	3,632
1,70	4,209	3,662
1,72	4,240	3,692
1,74	4,271	3,722
1,76	4,302	3,752
1,78	4,332	3,782
1,80	4,363	3,812
1,82	4,393	3,842
1,84	4,423	3,871
1,86	4,452	3,900
1,88	4,482	3,929
1,90	4,511	3,958
1,92	4,541	3,987
1,94	4,570	4,015
1,96	4,599	4,044
1,98	4,627	4,072
2,00	4,656	4,100
2,02	4,684	4,128
2,04	4,713	4,156
2,06	4,741	4,183
2,08	4,769	4,211
2,10	4,796	4,238
2,12	4,824	4,265
2,14	4,851	4,292
2,16	4,878	4,319
2,18	4,905	4,346
2,20	4,932	4,372
2,22	4,959	4,398
2,24	4,985	4,424
2,26	5,011	4,450
2,28	5,037	4,476
2,30	5,063	4,502
2,32	5,089	4,528
2,34	5,115	4,553
2,36	5,140	4,578
2,38	5,165	4,603
2,40	5,190	4,628
2,42	5,215	4,653
2,44	5,240	4,677
2,46	5,264	4,702
2,48	5,288	4,726
2,50	5,313	4,750
2,52	5,336	4,774
2,54	5,360	4,798
2,56	5,384	4,821
2,58	5,407	4,845
2,60	5,430	4,868
2,62	5,453	4,891
2,64	5,476	4,914
2,66	5,499	4,937
2,68	5,521	4,960
2,70	5,543	4,982
2,72	5,565	5,004
2,74	5,587	5,026
2,76	5,609	5,048
2,78	5,630	5,070
2,80	5,652	5,092
2,82	5,673	5,114
2,84	5,694	5,135
2,86	5,714	5,156
2,88	5,735	5,177
2,90	5,755	5,198
2,92	5,775	5,219
2,94	5,795	5,239
2,96	5,815	5,260
2,98	5,835	5,280
3,00	5,854	5,300
3,02	5,873	5,320
3,04	5,892	5,340
3,06	5,911	5,359
3,08	5,930	5,379
3,10	5,948	5,398
3,12	5,966	5,417
3,14	5,984	5,436
3,16	6,002	5,455
3,18	6,020	5,474
3,20	6,037	5,492
3,22	6,054	5,510
3,24	6,071	5,528
3,26	6,088	5,546
3,28	6,105	5,564
3,30	6,121	5,582
3,32	6,137	5,600
3,34	6,153	5,617
3,36	6,169	5,634
3,38	6,185	5,651
3,40	6,200	5,668
3,42	6,216	5,685
3,44	6,231	5,701
3,46	6,245	5,718
3,48	6,260	5,734
3,50	6,275	5,750
3,52	6,289	5,766
3,54	6,303	5,782
3,56	6,317	5,797
3,58	6,330	5,813
3,60	6,344	5,828
3,62	6,357	5,843
3,64	6,370	5,858
3,66	6,383	5,873
3,68	6,395	5,888
3,70	6,407	5,902
3,72	6,420	5,916
3,74	6,432	5,930
3,76	6,443	5,944
3,78	6,455	5,958
3,80	6,466	5,972
3,82	6,477	5,986
3,84	6,488	5,999
3,86	6,499	6,012
3,88	6,509	6,025
3,90	6,520	6,038
3,92	6,530	6,051
3,94	6,540	6,063
3,96	6,549	6,076
3,98	6,559	6,088
4,00	6,568	6,100
4,02	6,577	6,112
4,04	6,586	6,124
4,06	6,594	6,135
4,08	6,603	6,147
4,10	6,611	6,158
4,12	6,619	6,169
4,14	6,627	6,180
4,16	6,634	6,191
4,18	6,641	6,202
4,20	6,648	6,212
4,22	6,655	6,222
4,24	6,662	6,232
4,26	6,668	6,242
4,28	6,675	6,252
4,30	6,681	6,262
4,32	6,686	6,272
4,34	6,692	6,281
4,36	6,697	6,290
4,38	6,702	6,299
4,40	6,707	6,308
4,42	6,712	6,317
4,44	6,716	6,325
4,46	6,721	6,334
4,48	6,725	6,342
4,50	6,729	6,350
4,52	6,732	6,358
4,54	6,735	6,366
4,56	6,739	6,373
4,58	6,741	6,381
4,60	6,744	6,388
4,62	6,747	6,395
4,64	6,749	6,402
4,66	6,751	6,409
4,68	6,753	6,416
4,70	6,754	6,422
4,72	6,755	6,428
4,74	6,757	6,434
4,76	6,757	6,440
4,78	6,758	6,446
4,80	6,758	6,452
4,82	6,759	6,458
4,84	6,759	6,463
4,86	6,758	6,468
4,88	6,758	6,473
4,90	6,757	6,478
4,92	6,756	6,483
4,94	6,755	6,487
4,96	6,754	6,492
4,98	6,752	6,496
5,00	6,750	6,500
5,02	6,748	6,504
5,04	6,746	6,508
5,06	6,743	6,511
5,08	6,740	6,515
5,10	6,737	6,518
5,12	6,734	6,521
5,14	6,730	6,524
5,16	6,727	6,527
5,18	6,723	6,530
5,20	6,718	6,532
5,22	6,714	6,534
5,24	6,709	6,536
5,26	6,704	6,538
5,28	6,699	6,540
5,30	6,694	6,542
5,32	6,688	6,544
5,34	6,682	6,545
5,36	6,676	6,546
5,38	6,670	6,547
5,40	6,663	6,548
5,42	6,656	6,549
5,44	6,649	6,549
5,46	6,642	6,550
5,48	6,634	6,550
5,50	6,627	6,550
5,52	6,618	6,550
5,54	6,610	6,550
5,56	6,602	6,549
5,58	6,593	6,549
5,60	6,584	6,548
5,62	6,575	6,547
5,64	6,565	6,546
5,66	6,555	6,545
5,68	6,545	6,544
5,70	6,535	6,542
5,72	6,525	6,540
5,74	6,514	6,538
5,76	6,503	6,536
5,78	6,492	6,534
5,80	6,480	6,532
5,82	6,469	6,530
5,84	6,457	6,527
5,86	6,444	6,524
5,88	6,432	6,521
5,90	6,419	6,518
5,92	6,406	6,515
5,94	6,393	6,511
5,96	6,380	6,508
5,98	6,366	6,504
6,00	6,352	6,500
6,02	6,338	6,496
6,04	6,323	6,492
6,06	6,309	6,487
6,08	6,294	6,483
6,10	6,278	6,478
6,12	6,263	6,473
6,14	6,247	6,468
6,16	6,231	6,463
6,18	6,215	6,458
6,20	6,199	6,452
6,22	6,182	6,446
6,24	6,165	6,440
6,26	6,148	6,434
6,28	6,130	6,428
6,30	6,112	6,422
6,32	6,094	6,416
6,34	6,076	6,409
6,36	6,057	6,402
6,38	6,039	6,395
6,40	6,020	6,388
6,42	6,000	6,381
6,44	5,981	6,373
6,46	5,961	6,366
6,48	5,941	6,358
6,50	5,921	6,350
6,52	5,900	6,342
6,54	5,879	6,334
6,56	5,858	6,325
6,58	5,836	6,317
6,60	5,815	6,308
6,62	5,793	6,299
6,64	5,771	6,290
6,66	5,748	6,281
6,68	5,726	6,272
6,70	5,703	6,262
6,72	5,679	6,252
6,74	5,656	6,242
6,76	5,632	6,232
6,78	5,608	6,222
6,80	5,584	6,212
6,82	5,559	6,202
6,84	5,534	6,191
6,86	5,509	6,180
6,88	5,484	6,169
6,90	5,458	6,158
6,92	5,432	6,147
6,94	5,406	6,135
6,96	5,380	6,124
6,98	5,353	6,112
7,00	5,326	6,100
7,02	5,299	6,088
7,04	5,271	6,076
7,06	5,243	6,063
7,08	5,215	6,051
7,10	5,187	6,038
7,12	5,158	6,025
7,14	5,130	6,012
7,16	5,100	5,999
7,18	5,071	5,986
7,20	5,041	5,972
7,22	5,011	5,958
7,24	4,981	5,944
7,26	4,950	5,930
7,28	4,920	5,916
7,30	4,889	5,902
7,32	4,857	5,888
7,34	4,826	5,873
7,36	4,794	5,858
7,38	4,761	5,843
7,40	4,729	5,828
7,42	4,696	5,813
7,44	4,663	5,797
7,46	4,630	5,782
7,48	4,596	5,766
7,50	4,563	5,750
7,52	4,528	5,734
7,54	4,494	5,718
7,56	4,459	5,701
7,58	4,424	5,685
7,60	4,389	5,668
7,62	4,353	5,651
7,64	4,318	5,634
7,66	4,282	5,617
7,68	4,245	5,600
7,70	4,208	5,582
7,72	4,171	5,564
7,74	4,134	5,546
7,76	4,097	5,528
7,78	4,059	5,510
7,80	4,021	5,492
7,82	3,982	5,474
7,84	3,944	5,455
7,86	3,905	5,436
7,88	3,866	5,417
7,90	3,826	5,398
7,92	3,786	5,379
7,94	3,746	5,359
7,96	3,706	5,340
7,98	3,665	5,320
8,00	3,624	5,300
8,02	3,583	5,280
8,04	3,541	5,260
8,06	3,499	5,239
8,08	3,457	5,219
8,10	3,415	5,198
8,12	3,372	5,177
8,14	3,329	5,156
8,16	3,286	5,135
8,18	3,242	5,114
8,20	3,198	5,092
8,22	3,154	5,070
8,24	3,110	5,048
8,26	3,065	5,026
8,28	3,020	5,004
8,30	2,974	4,982
8,32	2,929	4,960
8,34	2,883	4,937
8,36	2,837	4,914
8,38	2,790	4,891
8,40	2,743	4,868
8,42	2,696	4,845
8,44	2,649	4,821
