t/s	x/m	y/m
0,00	1,000	0,500
0,02	1,010	0,508
0,04	1,020	0,516
0,06	1,030	0,524
0,08	1,040	0,532
0,10	1,050	0,540
0,12	1,060	0,548
0,14	1,070	0,556
0,16	1,080	0,564
0,18	1,090	0,572
0,20	1,100	0,580
0,22	1,110	0,588
0,24	1,120	0,596
0,26	1,130	0,603
0,28	1,140	0,611
0,30	1,150	0,619
0,32	1,159	0,627
0,34	1,169	0,635
0,36	1,179	0,643
0,38	1,189	0,651
0,40	1,199	0,659
0,42	1,209	0,667
0,44	1,219	0,674
0,46	1,229	0,682
0,48	1,239	0,690
0,50	1,249	0,698
0,52	1,259	0,706
0,54	1,269	0,714
0,56	1,278	0,721
0,58	1,288	0,729
0,60	1,298	0,737
0,62	1,308	0,745
0,64	1,318	0,753
0,66	1,328	0,761
0,68	1,338	0,768
0,70	1,348	0,776
0,72	1,357	0,784
0,74	1,367	0,792
0,76	1,377	0,799
0,78	1,387	0,807
0,80	1,397	0,815
0,82	1,407	0,823
0,84	1,416	0,830
0,86	1,426	0,838
0,88	1,436	0,846
0,90	1,446	0,854
0,92	1,456	0,861
0,94	1,466	0,869
0,96	1,475	0,877
0,98	1,485	0,884
1,00	1,495	0,892
1,02	1,505	0,900
1,04	1,515	0,907
1,06	1,524	0,915
1,08	1,534	0,923
1,10	1,544	0,930
1,12	1,554	0,938
1,14	1,564	0,946
1,16	1,573	0,953
1,18	1,583	0,961
1,20	1,593	0,968
1,22	1,603	0,976
1,24	1,612	0,984
1,26	1,622	0,991
1,28	1,632	0,999
1,30	1,642	1,006
1,32	1,651	1,014
1,34	1,661	1,022
1,36	1,671	1,029
1,38	1,680	1,037
1,40	1,690	1,044
1,42	1,700	1,052
1,44	1,710	1,059
1,46	1,719	1,067
1,48	1,729	1,074
1,50	1,739	1,082
1,52	1,748	1,090
1,54	1,758	1,097
1,56	1,768	1,105
1,58	1,778	1,112
1,60	1,787	1,120
1,62	1,797	1,127
1,64	1,807	1,134
1,66	1,816	1,142
1,68	1,826	1,149
1,70	1,836	1,157
1,72	1,845	1,164
1,74	1,855	1,172
1,76	1,865	1,179
1,78	1,874	1,187
1,80	1,884	1,194
1,82	1,893	1,202
1,84	1,903	1,209
1,86	1,913	1,216
1,88	1,922	1,224
1,90	1,932	1,231
1,92	1,942	1,239
1,94	1,951	1,246
1,96	1,961	1,253
1,98	1,970	1,261
2,00	1,980	1,268
2,02	1,990	1,275
2,04	1,999	1,283
2,06	2,009	1,290
2,08	2,018	1,297
2,10	2,028	1,305
2,12	2,038	1,312
2,14	2,047	1,319
2,16	2,057	1,327
2,18	2,066	1,334
2,20	2,076	1,341
2,22	2,085	1,349
2,24	2,095	1,356
2,26	2,104	1,363
2,28	2,114	1,370
2,30	2,124	1,378
2,32	2,133	1,385
2,34	2,143	1,392
2,36	2,152	1,399
2,38	2,162	1,407
2,40	2,171	1,414
2,42	2,181	1,421
2,44	2,190	1,428
2,46	2,200	1,436
2,48	2,209	1,443
2,50	2,219	1,450
2,52	2,228	1,457
2,54	2,238	1,464
2,56	2,247	1,472
2,58	2,257	1,479
2,60	2,266	1,486
2,62	2,276	1,493
2,64	2,285	1,500
2,66	2,295	1,507
2,68	2,304	1,515
2,70	2,314	1,522
2,72	2,323	1,529
2,74	2,332	1,536
2,76	2,342	1,543
2,78	2,351	1,550
2,80	2,361	1,557
2,82	2,370	1,564
2,84	2,380	1,571
2,86	2,389	1,579
2,88	2,399	1,586
2,90	2,408	1,593
2,92	2,417	1,600
2,94	2,427	1,607
2,96	2,436	1,614
2,98	2,446	1,621
3,00	2,455	1,628
3,02	2,464	1,635
3,04	2,474	1,642
3,06	2,483	1,649
3,08	2,493	1,656
3,10	2,502	1,663
3,12	2,511	1,670
3,14	2,521	1,677
3,16	2,530	1,684
3,18	2,539	1,691
3,20	2,549	1,698
3,22	2,558	1,705
3,24	2,568	1,712
3,26	2,577	1,719
3,28	2,586	1,726
3,30	2,596	1,733
3,32	2,605	1,740
3,34	2,614	1,747
3,36	2,624	1,754
3,38	2,633	1,761
3,40	2,642	1,768
3,42	2,652	1,774
3,44	2,661	1,781
3,46	2,670	1,788
3,48	2,679	1,795
3,50	2,689	1,802
3,52	2,698	1,809
3,54	2,707	1,816
3,56	2,717	1,823
3,58	2,726	1,829
3,60	2,735	1,836
3,62	2,744	1,843
3,64	2,754	1,850
3,66	2,763	1,857
3,68	2,772	1,864
3,70	2,782	1,870
3,72	2,791	1,877
3,74	2,800	1,884
3,76	2,809	1,891
3,78	2,819	1,898
3,80	2,828	1,904
3,82	2,837	1,911
3,84	2,846	1,918
3,86	2,856	1,925
3,88	2,865	1,932
3,90	2,874	1,938
3,92	2,883	1,945
3,94	2,892	1,952
3,96	2,902	1,959
3,98	2,911	1,965
4,00	2,920	1,972
4,02	2,929	1,979
4,04	2,938	1,985
4,06	2,948	1,992
4,08	2,957	1,999
4,10	2,966	2,006
4,12	2,975	2,012
4,14	2,984	2,019
4,16	2,993	2,026
4,18	3,003	2,032
4,20	3,012	2,039
4,22	3,021	2,046
4,24	3,030	2,052
4,26	3,039	2,059
4,28	3,048	2,065
4,30	3,058	2,072
4,32	3,067	2,079
4,34	3,076	2,085
4,36	3,085	2,092
4,38	3,094	2,099
4,40	3,103	2,105
4,42	3,112	2,112
4,44	3,121	2,118
4,46	3,131	2,125
4,48	3,140	2,131
4,50	3,149	2,138
4,52	3,158	2,145
4,54	3,167	2,151
4,56	3,176	2,158
4,58	3,185	2,164
4,60	3,194	2,171
4,62	3,203	2,177
4,64	3,212	2,184
4,66	3,221	2,190
4,68	3,230	2,197
4,70	3,240	2,203
4,72	3,249	2,210
4,74	3,258	2,216
4,76	3,267	2,223
4,78	3,276	2,229
4,80	3,285	2,236
4,82	3,294	2,242
4,84	3,303	2,249
4,86	3,312	2,255
4,88	3,321	2,261
4,90	3,330	2,268
4,92	3,339	2,274
4,94	3,348	2,281
4,96	3,357	2,287
4,98	3,366	2,294
5,00	3,375	2,300
5,02	3,384	2,306
5,04	3,393	2,313
5,06	3,402	2,319
5,08	3,411	2,326
5,10	3,420	2,332
5,12	3,429	2,338
5,14	3,438	2,345
5,16	3,447	2,351
5,18	3,456	2,357
5,20	3,465	2,364
5,22	3,474	2,370
5,24	3,483	2,376
5,26	3,492	2,383
